"year","doy","hour","solar","temp","rh","windspeed","precip","solardiff"
2002,303,8,289.491663946998,4.72933349609377,0.749560442974431,3.30680976103807,0.0872614532709122,19.9637659727686
2002,303,9,398.07385894615,5.24051817869691,0.821018727762885,3.30680976103807,0.0872614532709122,23.1016256204223
2002,303,10,442.737966062422,5.78908691406252,0.827571482432557,3.30680976103807,0.0872614532709122,24.2985020915512
2002,303,11,462.516810599068,6.33765564942813,0.761455648262712,3.30680976103807,0.0872614532709122,24.814685168262
2002,303,12,468.265049982427,6.84884033203127,0.480981961550294,3.30680976103807,0.0872614532709122,24.9632341837007
2002,303,13,462.516810599068,7.28780457052517,0.548425840848701,3.30680976103807,0.0872614532709122,24.814685168262
2002,303,14,442.737966062422,7.62463367747917,0.533371895285191,3.30680976103807,0.0872614532709122,24.2985020915512
2002,303,15,398.07385894615,7.83637330589078,0.397699354835372,3.30680976103807,0.0872614532709122,23.1016256204223
2002,303,16,289.491663946998,7.90859375000002,0.400001400884504,3.30680976103807,0.0872614532709122,19.9637659727686
2002,303,17,7.03159493453636,7.83637330589078,0.385621227863156,3.30680976103807,0.0872614532709122,5.07887690589329
2002,303,18,0,7.62463367747917,0.445776946164581,3.30680976103807,0.0872614532709122,0
2002,303,19,0,7.28780457052517,0.585714887341458,3.30680976103807,0.0872614532709122,0
2002,303,20,0,6.84884033203127,0.362316256209234,3.30680976103807,0.0872614532709122,0
2002,303,21,0,6.33765564942813,0.214913814515616,3.30680976103807,0.0872614532709122,0
2002,303,22,0,5.78908691406252,0.428199614348028,3.30680976103807,0.0872614532709122,0
2002,303,23,0,5.24051817869691,0.311537012632155,3.30680976103807,0.0872614532709122,0
2002,304,0,0,6.50972137451174,0.277323016577471,3.05906401754889,0,0
2002,304,1,0,6.07911586154638,0.337553238203982,3.05906401754889,0,0
2002,304,2,0,5.74870063027554,0.347502128345313,3.05906401754889,0,0
2002,304,3,0,5.54099293267333,0.505029530239289,3.05906401754889,0,0
2002,304,4,0,5.47014770507815,0.39829871375292,3.05906401754889,0,0
2002,304,5,0,5.54099293267333,0.342484201377418,3.05906401754889,0,0
2002,304,6,0,5.74870063027554,0.382342871368622,3.05906401754889,0,0
2002,304,7,7.07746653592913,6.07911586154638,0.404656857557109,3.05906401754889,0,5.95781741555165
2002,304,8,386.617912785602,6.50972137451174,0.561709311321559,3.05906401754889,0,26.8763686407045
2002,304,9,536.660621545077,7.01117211507228,0.591191381387945,3.05906401754889,0,31.2275449769059
